region,source_medium,revenue,transactions
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / organic,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,embalagem / referral,"0,00",0
Federal District,instagram / organic,"0,00",0
Florida,google / cpc,"0,00",0
Hauts-de-France,facebook / organic,"0,00",0
Moscow,google / organic,"0,00",0
North Holland,google / cpc,"0,00",0
North Sumatra,google / cpc,"0,00",0
North Sumatra,google / cpc,"0,00",0
Santa Fe Province,google / cpc,"0,00",0
Santa Fe Province,google / cpc,"0,00",0
Setubal,(direct) / (none),"0,00",0
State of Acre,google / cpc,"0,00",0
State of Acre,google / cpc,"0,00",0
State of Acre,google / cpc,"0,00",0
State of Acre,google / cpc,"0,00",0
State of Acre,google / cpc,"0,00",0
State of Acre,google / cpc,"0,00",0
State of Acre,google / cpc,"0,00",0
State of Acre,google / cpc,"0,00",0
State of Acre,google / cpc,"0,00",0
State of Acre,google / cpc,"0,00",0
State of Acre,google / cpc,"0,00",0
State of Acre,google / cpc,"0,00",0
State of Acre,google / cpc,"0,00",0
State of Acre,google / cpc,"0,00",0
State of Acre,google / cpc,"0,00",0
State of Acre,google / cpc,"0,00",0
State of Acre,google / cpc,"0,00",0
State of Acre,google / cpc,"0,00",0
State of Alagoas,(direct) / (none),"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / organic,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,google / cpc,"0,00",0
State of Alagoas,embalagem / referral,"0,00",0
State of Alagoas,facebook / organic,"0,00",0
State of Amapa,(direct) / (none),"0,00",0
State of Amapa,google / cpc,"0,00",0
